,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
6,159.30670195817947,5.533776488781044,1.1170015931129456,0.033564990144598,gini,850,"OrderedDict([('criterion', 'gini'), ('n_estimators', 850)])",0.8986997716327546,0.8946359122487687,0.88990485305682,0.8980856218042766,0.8953315396856549,0.0034950958521941713,16
7,36.970445811748505,1.0281640926058069,0.2550317049026489,0.009284790019606661,gini,200,"OrderedDict([('criterion', 'gini'), ('n_estimators', 200)])",0.894768271198565,0.8931676346764371,0.8945979625768274,0.8968346196987369,0.8948421220376417,0.0013075762540900994,17
0,111.48396825790405,4.940728395378476,0.8873568773269653,0.06407791806364949,gini,650,"OrderedDict([('criterion', 'gini'), ('n_estimators', 650)])",0.8989327794235633,0.8926835457114388,0.8945655989443797,0.8931364032281263,0.894829581826877,0.002468716379808361,18
17,185.98708933591843,7.770433450521191,1.1800004839897156,0.07515564325404687,gini,950,"OrderedDict([('criterion', 'gini'), ('n_estimators', 950)])",0.895477026515247,0.8936515088621784,0.8928541889492564,0.8973237160649022,0.894826610097896,0.0017269834848807736,19
29,151.6073746085167,5.347687532601343,0.9965017437934875,0.05596586213163032,log_loss,800,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 800)])",0.8984664930902768,0.8929286017361034,0.8913418953127971,0.8963697944499512,0.8947766961472821,0.002800262193425348,20
1,37.551394164562225,1.0284651502069053,0.2604222893714905,0.011020798685774045,entropy,200,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 200)])",0.8970138994127663,0.8919552284008855,0.8903971973089829,0.8990613660207287,0.8946069227858409,0.003549256003626479,21
11,73.14344531297684,2.3972629214631813,0.47935038805007935,0.01133038198351918,log_loss,400,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 400)])",0.8955047050791585,0.8946605755417948,0.891405004764885,0.8966145130360559,0.8945461996054735,0.001941445342493603,22
15,43.98379701375961,1.6439949656901678,0.3189563751220703,0.023211096788070214,gini,250,"OrderedDict([('criterion', 'gini'), ('n_estimators', 250)])",0.895482674094057,0.8924087787933238,0.8925909635637705,0.8975990464771328,0.894520365732071,0.00215555704172338,23
20,82.48583161830902,2.495616811347805,0.5462496876716614,0.014566338946692991,entropy,450,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 450)])",0.8947517943074025,0.8909787662445451,0.894832879890509,0.8958531171398176,0.8941041393955685,0.0018558960151908827,24
12,54.03409522771835,1.849264166602216,0.38221675157546997,0.03018179667753019,gini,300,"OrderedDict([('criterion', 'gini'), ('n_estimators', 300)])",0.8962465209477968,0.8899863535187909,0.8936265834737209,0.8931626528656522,0.8932555277014902,0.0022237270829351553,25
4,64.52457672357559,2.532627287044179,0.5383192300796509,0.02387513571911104,entropy,350,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 350)])",0.8918005213467008,0.8889930602058113,0.8887045305106589,0.8961073012089068,0.8914013533180195,0.0029739708150668693,26
13,27.313549399375916,1.0167380315347527,0.19801634550094604,0.011308410512671561,entropy,150,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 150)])",0.8903663489453585,0.8912378231991547,0.8879593501847385,0.8916695432085731,0.8903082663844561,0.0014350898369794958,27
23,18.88374763727188,0.5794296766898055,0.13825011253356934,0.006869707469348277,log_loss,100,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 100)])",0.8903970689030085,0.8853299384681175,0.8889744711159525,0.8934219327593669,0.8895308528116113,0.0029089549407586798,28
2,19.247061848640442,0.7361214258499901,0.15082859992980957,0.0042920630679104555,gini,100,"OrderedDict([('criterion', 'gini'), ('n_estimators', 100)])",0.8866959439712433,0.883868932329397,0.8872233169169208,0.888722139179352,0.8866275830992283,0.0017576185047557473,29
9,9.17644888162613,0.4223381496929243,0.0774390697479248,0.004150785545190469,gini,50,"OrderedDict([('criterion', 'gini'), ('n_estimators', 50)])",0.8847387721238829,0.8735131709645015,0.8811785355961687,0.8833200443683957,0.8806876307632372,0.004331720462796141,30
